timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-423887,501479,402976,-939339,45266,1363641,554168,-516986
66,-401298,471306,379898,-882978,42061,1282122,521209,-486241
66,-377482,443428,358198,-831446,39608,1206069,490387,-457364
66,-352526,416910,334932,-782431,40928,1140016,461853,-430482
66,-331506,392887,315192,-736127,37499,1070942,434489,-405115
66,-313023,371056,296534,-692535,32902,1003827,408631,-381156
66,-295300,348202,278409,-652437,30382,945717,384548,-358155
66,-276635,328101,262205,-613383,27853,887571,361564,-337012
66,-260194,307694,246804,-576943,27128,836950,340161,-316817
114,-245263,294515,235957,-539668,16829,765957,318200,-297348
114,-232222,276058,221790,-508274,17905,724448,299604,-279856
114,-218771,255518,204548,-481869,25974,703026,283858,-263814
114,-205357,240705,192571,-453203,24487,660702,267052,-248179
114,-193467,225886,181005,-426036,20365,619252,250993,-233183
114,-181400,213283,170237,-400789,17960,581013,236140,-219474
114,-169400,197823,160275,-379135,20496,557116,222722,-206635
114,-161210,186591,151335,-356291,18618,521618,209376,-194242
114,-151854,176831,143043,-334499,15487,485805,196727,-182674
114,-140533,168475,133974,-314483,14987,455459,185003,-171946
162,-132830,162293,128814,-292621,6043,409003,172678,-161069
162,-124842,151195,120302,-276435,7626,390338,162711,-151729
162,-116153,147622,118151,-258550,3351,357160,152614,-142694
162,-110758,138090,110053,-244123,4472,340323,143859,-134337
162,-106001,120983,96633,-232654,13728,342515,136915,-126451
162,-98252,114335,91086,-218193,12422,320180,128477,-118858
162,-91771,108210,85898,-206030,10409,300220,121210,-111782
162,-86763,101964,80667,-194168,9173,281816,113859,-104977
162,-83158,96567,76582,-182198,7284,261414,106589,-98463
162,-76865,88902,70995,-173495,10630,258100,100953,-92542
210,-73539,88148,69483,-157907,2123,219694,93821,-86709
210,-67661,82354,65067,-149359,2926,209569,88254,-81658
210,-63444,75264,59033,-143785,8313,210792,84400,-77155
210,-59688,71194,55933,-134735,7577,196116,79222,-72600
210,-56459,66912,52704,-126111,4029,182773,74440,-68002
210,-54758,66999,52360,-115210,-3166,153412,68737,-63475
210,-49271,57935,45705,-112591,6218,168685,66336,-60449
210,-48022,55069,43090,-106701,4344,157136,62283,-56841
210,-45037,52556,41105,-100211,2757,144159,58317,-53361
210,-40860,48830,38255,-95090,2837,138763,55068,-50088
259,-38116,52112,40425,-84077,-8544,100890,49436,-46231
259,-36289,47824,37301,-80286,-5995,100641,46777,-43630
259,-33942,36762,29287,-82573,7869,133062,47018,-41930
259,-31675,35620,28417,-76447,5947,120022,43987,-39336
259,-32659,34489,27819,-68754,2961,103206,40475,-36321
259,-30684,33094,26459,-64242,2787,95938,38031,-34129
259,-27578,37196,28507,-58958,-7903,68017,34785,-31491
259,-26084,34302,27160,-55769,-7928,64887,32531,-29526
259,-23000,31845,25921,-52052,-8274,60710,30423,-27552
259,-21507,24917,19994,-52362,2386,80960,30360,-26344
308,-20760,28539,21622,-45413,-7193,52716,26983,-24022
308,-20693,23820,18264,-45825,-1391,64493,26328,-23018
308,-19289,20496,16317,-43837,1113,68217,25224,-21336
308,-17089,19311,15351,-40815,1143,63780,23719,-20116
308,-17524,16463,11666,-40816,3775,67476,22786,-18733
308,-16221,16059,12062,-37526,1722,58250,21353,-17577
308,-13698,16527,12562,-36205,-2256,53791,19746,-15920
308,-14269,15724,11664,-33334,-2224,49987,18520,-14948
308,-13380,15630,11258,-30160,-3497,43344,17146,-13963
308,-13270,19042,14789,-26207,-13744,19264,14703,-10990
355,-11525,16748,13922,-26577,-11861,20471,13613,-10745
355,-11045,12832,8482,-23971,-2307,40081,14683,-11340
355,-10901,11418,8308,-22025,-2160,37399,13719,-10562
355,-10300,10196,8600,-20417,-2930,33442,12655,-9811
355,-7794,8537,6845,-20529,-2870,34643,11984,-9105
355,-7821,8509,6856,-19063,-3966,29556,10842,-8218
355,-6382,15607,11813,-15910,-17209,695,8291,-6277
355,-7824,13028,9974,-16333,-12858,9091,8156,-6080
355,-7371,6637,5976,-19460,-2852,32895,10044,-6375
355,-6722,6422,5566,-18633,-3079,30755,9553,-6026
404,-4316,7410,5871,-16635,-5638,24634,8173,-5184
404,-3752,10000,8183,-16136,-11004,10843,6476,-3542
404,-3395,9622,7560,-15474,-10375,11368,5852,-3361
404,-3261,9310,6988,-14790,-9985,9918,5414,-3157
404,-5121,3384,3245,-15710,-2961,30904,7949,-3229
404,-4693,3906,3753,-13471,-3596,24419,7074,-2849
404,-3450,3500,3842,-12958,-4381,22761,5083,-814
404,-4621,3418,3798,-12000,-4030,20764,4960,-1349
404,-3434,2009,3380,-9911,-1947,26306,5047,606
404,-2137,2219,3246,-9775,-2003,24824,5255,718
453,-3059,6040,5846,-6408,-8903,1136,3584,199
453,-1392,2255,3096,-8497,-3014,16774,3047,1876
453,-1042,2191,5056,-15396,-4414,19703,4786,-1329
453,-981,2499,4906,-14439,-4789,16153,3331,-1043
453,-519,5193,7018,-7935,-11077,620,4262,-1611
453,-675,5003,6010,-7627,-10178,1663,4003,-1468
453,-1508,323,4668,-9037,-2213,19178,5371,1175
453,-1894,610,4394,-8715,-3343,16967,4512,1497
453,-3783,1481,4580,-8380,-5446,12521,3612,1627
453,-3566,970,4620,-9972,-4813,14941,3486,1599
502,-1460,7279,8506,-7365,-16053,-11552,2557,4272
502,-2551,6375,7714,-7508,-14432,-7822,2173,5451
502,-1075,-1064,4425,-10218,-1833,21349,4637,4087
502,-1386,-299,4952,-9144,-3410,17418,4731,4568
502,-2669,166,6521,-10323,-3270,15055,931,8198
502,-3851,163,6533,-9380,-3583,12875,1299,7902
502,-279,4039,10443,-5723,-10129,529,691,61
502,-328,3454,9721,-5387,-8991,1562,926,-375
502,15,4210,9631,-4605,-10344,-3436,1034,-608
502,-2768,-820,8034,-13901,-2774,15893,3292,2034
551,-2239,1229,8951,-9970,-6701,3692,-744,5563
551,-1432,-1471,7095,-10484,-2967,12994,-162,5932
551,-2222,455,11253,-12735,-6076,5837,1683,5228
551,-3519,4526,13537,-8523,-13172,-12597,649,5068
551,-2451,-1927,10706,-17509,-2273,19647,5261,4625
551,-2182,-1607,10307,-14783,-2277,17941,5814,3525
551,-2013,-1519,12922,-11844,-3073,15332,-88,13613
551,-3435,-1488,12310,-11626,-3248,14142,-1424,17460
551,-3323,-1020,11765,-11329,-3763,11755,-2842,19636
551,-76,1325,15688,-12014,-8890,21,589,3160
600,-2191,1128,16491,-13698,-6622,-4377,1319,2978
600,-1807,-2306,12769,-16363,-1128,10574,1765,3829
600,-2728,-3663,16012,-12138,-1112,14176,1529,-5510
600,-747,-3172,15363,-11872,-991,12060,2164,-4262
600,-3212,-640,19364,-15461,-7111,794,3835,5826
600,-1437,2892,20469,-12272,-12842,-14165,2592,4547
600,-3200,-4200,16712,-23351,-1155,22737,7818,-63
600,-4525,-4012,15931,-22069,-1536,20716,7596,-3541
600,-4108,-3572,16116,-20326,-3004,15841,7149,-4804
600,-1146,-4461,19086,-21209,-1575,14605,399,16820
649,-3770,677,23218,-16519,-11836,-10746,4868,-4273
649,-2265,-467,20991,-16963,-9025,-3532,6477,-4641
649,-5346,-9505,18348,-31940,4535,37118,2214,14835
649,-6809,-8463,18026,-30273,2814,39923,2742,13323
649,-5345,-5892,22836,-31872,-1837,16331,2223,8787
649,-4206,-5093,22126,-27706,-1941,12342,-13,11435
649,-891,-1196,26395,-29726,-9590,-300,8017,-512
649,384,359,26386,-26270,-12146,-9136,6162,-887
649,-5741,-5762,26553,-31166,-183,13422,5647,32093
649,-7956,-6394,25665,-32415,-486,13222,5606,27685
698,-6731,-2194,28562,-40561,-8010,1754,1305,2287
698,-4281,-5352,30262,-42760,-1073,15205,11253,-5519
698,-4291,-5306,29046,-41078,-378,14393,10259,-4310
698,-4697,-4848,28518,-39274,-1084,11155,8736,-2528
698,-9258,-8286,28956,-46001,2314,35962,5705,26225
698,-8503,-6747,28341,-42258,1592,31158,8887,18826
698,-6363,-5992,35667,-52959,-1132,17272,9060,-4851
698,-4882,-4964,33693,-50447,-2530,14298,8704,-2245
