timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
559,-231,88,3425,-3132,3563,5607,1461,-389
559,889,3943,1829,-1397,-4193,-8492,63,143
559,435,3508,1843,-1000,-3793,-8217,-30,82
608,-85,767,715,-3838,3221,5278,810,454
608,1276,-496,179,-4113,6084,10008,1172,768
608,1263,2950,2785,-1165,-773,-5717,279,1540
608,-82,-623,-4214,-2901,935,6745,1316,227
608,-2014,-4,-4769,-2100,-27,4179,1032,876
608,-110,-2863,-1827,-7369,7331,16460,1934,1113
608,420,-2191,-1455,-5507,6040,13354,1753,1005
608,-726,-280,-782,-3178,2395,6696,1465,85
608,-1252,-129,-852,-3089,1997,6229,1228,1052
608,-1771,409,-547,-2727,824,3980,824,2067
656,-2517,2850,2336,-1164,-7484,-12088,-950,2597
656,-751,3219,2669,-434,-7415,-13507,-1132,2564
656,2521,-1006,-358,-3396,3374,6379,979,-364
656,972,-1037,-329,-2814,3247,5765,849,-264
656,931,-657,-209,-2254,2039,3727,562,208
656,-948,97,-1068,-3165,1446,4699,689,2205
656,-341,294,-856,-2967,1027,4127,548,1921
656,1367,-3032,-2162,-5066,7116,14797,1248,1408
656,494,-1842,-1702,-4012,4976,10548,1090,1005
656,1467,-460,-2370,-3298,1179,3808,590,47
704,1959,3582,4757,-253,-6581,-14636,-651,1848
704,2076,1341,3692,-1979,-2210,-5319,-224,1251
704,892,2901,791,-574,-5174,-9869,-984,857
704,981,2339,797,-706,-4408,-8583,-837,820
704,2123,5149,2686,1506,-10908,-21131,-1477,1112
704,-2152,-2057,-1219,-3749,5072,8843,882,2270
704,-1807,-1732,-957,-3826,4358,7342,901,2184
704,-251,-239,-1061,-3088,4748,5334,368,2452
704,-717,-135,-697,-2527,3600,2894,196,2098
704,78,-3769,3280,-4318,15008,11916,680,2699
753,-1049,-795,-4282,-5941,256,9173,966,2383
753,56,202,-3571,-4211,-2337,2466,409,2783
753,1554,-1011,-69,-4089,3648,4699,304,1280
753,252,-829,793,-3233,3002,4011,349,1184
753,387,210,1392,-1604,1030,520,152,1558
753,1091,2031,818,-1084,-5904,-9665,-1265,1512
753,-596,5506,3170,1543,-12730,-24401,-2148,2336
753,1239,-1521,-2206,-4294,1745,7295,518,2028
753,-673,-1048,-1771,-3453,505,4693,215,2365
753,1351,-882,-782,-1815,3795,4535,-127,2982
802,4715,5678,2030,-129,-9823,-18134,-527,-2261
802,3500,4975,1857,-334,-8888,-15784,-746,-1982
802,220,-2827,-1475,-4107,6591,11184,659,2855
802,-117,-2466,-1106,-3726,5931,9396,431,2720
802,-1495,-1398,-562,-2617,3737,5007,-12,2700
802,446,-732,-1511,-3499,3198,5805,-152,3842
802,285,-338,-1030,-2905,3346,3704,-271,3800
802,654,2121,959,-1364,-4382,-7962,-1000,2121
802,703,1371,400,-2442,-2295,-3625,-480,1355
802,219,-1003,-1600,-3860,2429,5955,130,2069
851,-1302,837,333,-1762,-4628,-3226,-939,3186
851,-198,-1564,-845,-2914,1619,6738,-166,2786
851,-973,762,769,-958,-1606,-3423,-693,2921
851,319,4274,1696,-884,-9321,-16628,-1438,3228
851,-1088,3127,1172,-1425,-6944,-11462,-1412,3183
851,1451,-2653,-5384,-4034,4412,9723,466,1855
851,1145,-1968,-5488,-3256,2627,7402,358,1924
851,298,-536,-2657,-3114,1120,7417,270,1324
851,1361,-764,-2341,-2869,597,6461,131,2134
851,1017,2527,1287,-776,-2824,-7004,-681,2186
899,-1004,2001,900,-945,-1924,-5986,-912,5613
899,-248,1802,684,-1166,-1506,-4383,-983,5179
899,2364,-722,-1084,-3130,5168,7522,-49,2505
899,2070,-603,-1031,-3117,4657,7104,223,1959
899,-22,-141,-678,-2804,3343,5160,354,1335
899,-588,-59,-719,-3864,2660,6064,333,4379
899,1489,2945,1157,-1121,-3811,-7273,-487,4066
899,-2225,-1994,-1131,-3518,6008,8900,-382,5541
899,-684,-1508,-936,-3013,4713,7089,-385,5174
899,2000,-566,-1192,-4523,3166,7492,547,2373
947,239,3299,1275,-641,-4616,-9949,-621,3355
947,598,5598,2795,1114,-9803,-19379,-1422,3368
947,594,5028,2729,300,-9088,-15485,-1428,2842
947,441,4696,2460,-167,-8334,-13575,-1401,3439
947,1045,-1911,-1671,-4513,5736,14045,353,3166
947,-3673,-2429,-696,-2961,4148,9410,313,4643
947,-3006,-2127,-486,-2462,3404,8111,458,4243
947,-1746,-1442,-68,-3025,6356,7612,381,4454
947,-1486,-1305,147,-2902,5686,6721,369,4160
947,840,-886,-1289,-2876,4525,8467,170,4632
996,-193,-101,-819,-2665,4607,6318,94,3969
996,-103,-213,-555,-2242,5674,6453,276,3756
996,-1407,-300,-1321,-3013,3265,6751,224,5333
996,-845,-198,-1140,-2796,3040,6046,261,4592
996,-225,357,-518,-2127,1477,2998,250,3984
996,884,-2783,-2209,-5619,8788,17504,746,2496
996,984,-2047,-1731,-4481,7197,13414,659,2637
996,945,335,-406,-3673,3823,6414,378,6037
996,1154,871,-213,-3008,2274,3862,145,5781
996,-43,1171,10,-3202,3098,4901,122,5574
1044,1979,4830,2680,-631,-3770,-10393,-810,2887
1044,3040,4814,2463,-695,-3716,-9818,-458,1356
1044,587,-242,-51,-3681,8369,9594,312,5493
1044,74,184,71,-3123,7410,7840,204,5345
1044,-1221,1056,369,-2299,5357,4281,178,4895
1044,-418,760,-221,-3346,7218,6585,83,6952
1044,-464,966,-9,-2628,6351,4732,62,5724
1044,-530,-802,-951,-6349,9578,12742,493,5986
1044,6,-1482,-1283,-6169,10645,16356,861,6567
1044,37,404,516,-3072,6894,5590,-88,8302
1093,-143,2037,1414,-2748,3584,449,-219,3923
1093,-11,337,247,-3463,6951,7191,177,4053
1093,-545,4349,2638,-1365,-1539,-8872,-1019,6549
1093,1212,3901,2430,-1095,-1149,-8230,-979,6187
1093,997,4144,2741,-452,-1958,-10189,-1206,5881
1093,819,-2,-258,-3710,7610,7509,495,5885
1093,631,427,69,-3200,6304,5371,286,5710
1093,-199,589,49,-3557,6278,6820,308,6332
1093,1849,758,95,-3723,5578,5793,235,6075
1093,4897,-307,-333,-5074,6700,10668,883,3261
1142,-222,4247,2445,-2350,-2416,-7017,-558,7818
1142,-322,489,376,-4569,4601,7605,336,7868
1142,-3581,-45,458,-4647,3216,5426,334,7050
1142,-2940,26,419,-3950,2890,4621,331,6486
