timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-2043198,1064417,229745,-3296900,-616460,1740740,278246,221310
66,-1921000,1001365,214918,-3102332,-580927,1638650,262037,208022
66,-1807484,942118,202766,-2918950,-546133,1541789,246573,195764
66,-1702436,885818,190544,-2747420,-510737,1451854,231903,184465
66,-1600807,833451,179628,-2584576,-479941,1365170,218224,173632
66,-1507355,784594,169581,-2430899,-451837,1282359,205145,163416
66,-1418350,738157,159356,-2287531,-428173,1206770,193096,153649
66,-1334129,694779,149984,-2151856,-402721,1134405,181523,144640
66,-1254696,654697,140976,-2025060,-379008,1067123,170924,136017
114,-1179077,618928,134890,-1902115,-356519,992584,159461,128261
114,-1109139,581899,126659,-1790131,-335102,935448,150226,120480
114,-1045314,543342,117078,-1687112,-317140,890092,142431,113428
114,-985043,511122,110455,-1587110,-297907,836996,133824,106871
114,-924975,481760,102393,-1494066,-281964,787234,126166,100223
114,-870471,453588,96246,-1405540,-265380,740139,118655,94308
114,-819241,427354,94314,-1320485,-245522,689939,110118,89858
114,-771006,398899,87717,-1245803,-231401,660044,105013,84079
114,-726810,375892,82987,-1171377,-218961,618751,98762,79060
114,-681592,355043,76837,-1101177,-204015,580221,93266,73615
162,-641076,336854,73511,-1032600,-192223,535909,86415,69771
162,-603033,317003,69229,-971879,-181042,504151,81158,65684
162,-569319,298500,64870,-914118,-170887,472644,76139,62315
162,-534116,280708,61136,-859883,-160354,444896,71615,58686
162,-502831,261252,56131,-813289,-150990,431444,69234,53777
162,-473046,245898,53188,-764808,-141767,404749,64920,50598
162,-445703,231031,49665,-719951,-134005,381057,60840,47379
162,-419538,217443,46855,-677280,-126087,358302,57244,44699
162,-394556,205175,44378,-636696,-118745,335349,53773,42224
162,-372002,197100,45481,-593489,-111241,296923,47934,41160
211,-349792,179416,40007,-565472,-106673,300792,47922,37523
211,-327730,168991,37395,-531504,-98772,282838,45284,35308
211,-309668,160311,33629,-499590,-92238,264774,42481,33091
211,-290104,150888,31330,-469943,-87874,248754,39945,31198
211,-273914,145031,33495,-439035,-81353,223374,36084,30393
211,-257717,136835,31279,-412856,-76774,209433,33924,28696
211,-240860,124687,26752,-392653,-71846,209778,33525,26148
211,-226925,117288,25222,-369153,-67649,196833,31439,24693
211,-215037,110875,23862,-346485,-63938,182848,29172,23550
211,-202387,104597,22038,-326887,-59790,173828,28052,21539
260,-188476,102195,22324,-302351,-57708,148839,24499,21356
260,-177256,96584,21309,-284311,-54444,138241,22757,20051
260,-167648,82609,17548,-275316,-50312,155123,24084,18340
260,-158553,78555,17035,-257733,-47047,143315,22433,17293
260,-149545,75989,13803,-241402,-47543,129160,20544,16190
260,-140662,71519,12723,-226951,-44890,121062,19393,15184
260,-131374,70812,16814,-209719,-38585,102523,16766,14908
260,-124579,66544,14940,-197781,-39063,97165,16001,13962
260,-116189,62718,14284,-185803,-36477,90931,14984,13138
260,-109734,56277,11419,-177807,-31749,96272,15279,11667
309,-102370,55229,13195,-164454,-29802,80883,13277,11343
309,-96013,49397,11101,-157990,-28737,85536,13652,10066
309,-90862,46900,10075,-148358,-27591,79993,12985,9372
309,-86067,44634,9358,-139492,-26241,74630,12102,8954
309,-80333,39555,8064,-132874,-25105,74518,11927,8337
309,-75435,37564,7690,-124599,-23704,69013,11089,7983
309,-71376,36127,7507,-116617,-22521,62554,10068,7599
309,-67159,34012,8459,-109592,-21285,58476,9510,6843
309,-64557,32303,8564,-102730,-19171,53970,8955,6220
309,-60335,33231,9272,-93915,-17127,41991,7320,6758
357,-55014,29712,7716,-89916,-14802,44101,7288,6167
357,-51827,25197,5703,-87452,-14423,50251,7889,5396
357,-49052,25119,5709,-80652,-16000,43065,6864,5136
357,-46393,23828,5536,-75725,-14414,40358,6540,4788
357,-45316,22128,5440,-71342,-13427,37839,6103,4188
357,-42348,21043,5241,-66903,-12413,35093,5665,4078
357,-38374,17958,2628,-65860,-14055,40220,6042,3873
357,-36136,17293,2212,-61296,-13123,36544,5543,3658
357,-35129,16882,1795,-56951,-12309,32334,5011,3474
357,-32932,16334,3014,-52935,-11570,27208,4287,3177
407,-29873,17950,6559,-46139,-8044,16671,3076,3784
407,-29091,18405,7014,-41638,-7807,9460,2031,3932
407,-26133,16411,4098,-41063,-6623,13592,2479,3042
407,-26029,17333,5412,-35885,-5938,4748,1446,3398
407,-24588,11116,3042,-39619,-5731,23348,3509,2492
407,-22947,10611,2697,-37118,-5494,21455,3343,2326
407,-20095,10657,2734,-34243,-5301,18097,2862,2225
407,-20755,9399,2343,-33245,-8099,18365,2725,2178
407,-19753,9359,2769,-30529,-6164,15326,2321,2188
407,-18441,7669,2079,-29895,-6619,17767,2617,1924
456,-15504,11616,498,-23904,-6297,4216,1185,2176
456,-14649,8424,-889,-25956,-6756,13327,2105,1600
456,-13694,7127,16,-25050,-4676,14123,2214,1473
456,-14482,6687,497,-23336,-4220,12855,2086,1444
456,-13580,6872,1131,-21056,-4297,9909,1805,1533
456,-13436,10545,4696,-14252,-5095,-7324,-391,1928
456,-12188,7039,2912,-16810,-5285,2403,559,1669
456,-10343,3916,804,-19260,-3404,13411,2081,693
456,-10805,3622,879,-17965,-3121,12454,1965,544
456,-10252,4307,994,-16946,-2946,10439,1828,999
503,-9766,6634,3718,-10938,-2474,-5299,-436,2006
503,-9171,5264,3272,-11292,-2252,-1823,-110,1762
503,-7891,1327,-663,-15215,-3092,13223,2254,438
503,-7054,1710,-1498,-14109,-3882,11572,1972,600
503,-7852,2612,-1249,-13210,-3421,8684,1400,743
503,-6132,2693,-821,-11992,-2593,7271,1229,733
503,-6955,2912,-122,-10602,-2128,4971,840,780
503,-6184,1099,-950,-12817,-5245,12071,1728,256
503,-4903,1262,-552,-11539,-3687,10794,1768,123
