timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-2033813,1424325,133783,-3547241,-595172,1685644,396670,330411
66,-1912767,1339479,124711,-3338285,-562732,1586903,373480,310521
66,-1799599,1260273,117058,-3140822,-529204,1492778,351362,292236
66,-1693324,1184813,112408,-2954644,-492777,1405983,330802,274625
66,-1594682,1114991,105386,-2779542,-464760,1321996,311179,258519
66,-1500295,1049665,98978,-2614249,-438074,1241494,292499,243377
66,-1410105,987549,91635,-2464711,-416561,1170718,275430,229006
66,-1326462,929569,87112,-2316909,-390720,1100326,258992,215534
66,-1248192,877366,82800,-2175256,-367986,1024871,242298,203288
114,-1174556,824356,78395,-2046733,-343049,962677,227651,191498
114,-1106361,775012,73661,-1926283,-322527,907981,214405,180159
114,-1041139,724841,69871,-1814847,-303860,865527,203090,168779
114,-978328,682033,65599,-1707404,-287035,813820,190971,158847
114,-921673,644367,59907,-1606972,-268581,766289,179650,149066
114,-867276,606440,56685,-1512067,-253567,719644,168809,140409
114,-814491,567537,54385,-1424662,-235577,683589,159352,132154
114,-767492,534427,52572,-1339722,-221870,641998,149974,124293
114,-721104,503553,51256,-1259328,-209056,601028,140919,117028
114,-677981,475528,41956,-1184316,-198291,563817,132369,110064
162,-637796,450139,42347,-1110532,-185699,520776,123477,104178
162,-599922,424153,40007,-1044841,-176794,487730,115750,98152
162,-565761,398307,39575,-983153,-165356,459457,109011,92514
162,-530964,374767,37807,-924889,-155618,432062,102566,86898
162,-500912,349245,31309,-874165,-145147,419223,97953,81215
162,-470195,329202,29922,-821930,-136001,393154,92034,76456
162,-443865,307896,29931,-772685,-128570,370146,86662,71703
162,-416683,289616,28817,-726886,-121689,347977,81498,67417
162,-393081,273070,27714,-683226,-115834,325139,76434,63578
162,-369882,255080,23650,-645082,-102750,311075,72464,59969
211,-347644,242370,23047,-604475,-99916,288709,67522,56554
211,-326704,227905,21233,-568890,-93876,272753,63802,53201
211,-306927,213896,21494,-535939,-88731,255940,59858,50062
211,-289145,201257,21583,-504003,-83603,240174,56213,47195
211,-271987,192856,19847,-471180,-80193,215909,51927,44755
211,-254847,181526,19131,-443189,-75589,202663,48877,42128
211,-241733,167154,17830,-420270,-66866,202834,47265,39106
211,-226070,157550,14901,-395349,-65391,190327,44410,36884
211,-212497,149072,12495,-371208,-63728,176610,41547,34796
211,-199540,140524,8775,-349720,-59733,168756,39302,32184
260,-189203,132354,17575,-324400,-56514,144226,35589,30864
260,-178126,125330,16052,-304770,-53923,132565,32941,29196
260,-167829,113310,11820,-292699,-45803,145477,32957,27034
260,-156609,107357,12075,-274727,-43366,135244,30920,25340
260,-148118,102721,8140,-258250,-42521,125502,29007,23376
260,-137826,97203,5123,-242159,-39027,117297,27224,22150
260,-130339,92654,10360,-224703,-36801,99904,24238,21287
260,-123763,87105,9357,-211779,-35003,94225,22844,20024
260,-115472,82045,8812,-199160,-33065,88313,21446,18853
260,-109588,75019,6457,-190066,-28551,93360,21216,17366
308,-103275,72715,9346,-175031,-31389,75747,18745,16848
308,-97107,67433,7663,-167193,-29993,76340,18130,15549
308,-91203,62674,4120,-158956,-24560,79060,17884,14142
308,-85818,59206,3933,-149551,-23201,74297,16797,13218
308,-78698,52900,5642,-143208,-22070,74875,16267,12488
308,-74069,50278,6112,-133910,-20894,68962,15215,11794
308,-70373,48559,2180,-123998,-21648,61618,13849,11153
308,-66597,45641,2435,-116425,-20083,57512,12947,10543
308,-63763,43384,2933,-108736,-18625,51858,11858,10037
308,-59487,43921,5479,-99466,-17269,39466,10119,10080
355,-55252,42154,5115,-93999,-15478,36149,9546,9480
355,-51576,36174,2733,-88666,-10627,44950,9733,8992
355,-48498,34141,2193,-83453,-11224,41805,9181,8324
355,-46702,32720,2202,-78144,-12210,37239,8427,7877
355,-44082,29562,2618,-76431,-10223,38397,8347,6832
355,-40904,27656,3126,-71549,-8964,34980,7713,6560
355,-38891,24524,2290,-72461,-7460,38717,7337,6469
355,-35571,22144,1364,-69474,-8547,40404,7563,5882
355,-33632,23064,949,-58789,-7296,29731,6396,5598
355,-32824,21655,2800,-55065,-6262,27207,5913,5272
404,-29513,21613,5458,-51073,-11587,19377,4539,5532
404,-27336,21552,2380,-46243,-9414,15159,4045,5186
404,-25699,20112,2164,-44029,-9146,15152,3967,4858
404,-25704,21306,3389,-38254,-9921,5387,2855,4940
404,-24935,14757,4111,-40870,-4959,22789,4484,3840
404,-23196,14466,3854,-38026,-5096,20155,4113,3596
404,-20121,13410,781,-35654,-3617,19772,3799,3265
404,-19043,12753,1145,-33285,-3403,18208,3515,3073
404,-19798,11204,-539,-32556,-3979,18854,3282,3093
404,-18536,10547,-772,-30368,-3870,17438,3054,2864
452,-16829,13388,-88,-25210,-5909,5479,1983,3006
452,-14540,8075,3004,-25990,-25,14550,2570,2566
452,-13678,7965,3850,-24363,169,13365,2388,2488
452,-14064,8156,4833,-22043,14,10084,2016,2409
452,-11622,11855,362,-19126,-3510,2499,1064,2735
452,-11014,10849,688,-17680,-2616,1998,1036,2651
452,-12019,6030,-382,-19928,-4138,13082,2091,2163
452,-11599,5817,-334,-18574,-4391,11817,1849,2076
452,-11026,3833,1120,-18010,-5019,10822,1801,2053
452,-10087,4091,1006,-16383,-5414,9111,1616,1991
501,-7414,9580,1242,-10024,-1314,-4710,0,2345
501,-6715,4009,-2058,-16783,-407,13653,1985,1430
501,-6498,3798,-2158,-14555,-1446,12173,1786,1275
501,-7807,3912,-1702,-12458,-1900,8791,1364,1315
501,-7219,3174,-977,-11280,-419,7528,1048,1198
501,-5348,2968,-748,-10392,-539,6278,996,1116
501,-5540,5193,762,-7233,-986,-2193,21,1580
501,-5196,5165,1034,-6393,-1146,-3113,-61,1510
501,-4876,2165,1131,-7376,1526,5754,676,1115
501,-5967,1797,1447,-6406,2947,5308,515,1273
550,-4016,4630,5575,-4699,-237,-7234,-753,1487
550,-3407,2891,-1798,-7434,-92,5730,860,509
550,-3179,4360,-632,-4588,-1164,-1342,57,802
550,-4155,6676,973,-1068,-2543,-11590,-1164,1323
550,-3739,502,1532,-6963,2883,9695,1055,346
550,-2272,703,2290,-6404,1896,8178,911,357
550,-3787,1327,-1259,-5484,397,5137,504,586
550,-2289,1160,-981,-4828,413,4511,463,641
550,-2081,3270,1325,-2405,-925,-4115,-252,957
550,-2841,3569,1018,-1840,-1292,-4616,-304,886
599,-1461,2580,359,-2181,1335,-2082,-204,872
599,-1793,-1331,181,-5104,2873,6795,702,457
599,-4092,-79,-1113,-2973,1471,4424,369,539
599,-3592,349,-1025,-3036,1123,3810,213,605
599,-1592,2673,49,4281,1850,-7159,-875,745
599,-2536,4149,342,5362,-601,-12801,-1562,1031
599,-2490,-1342,-581,-5230,-2550,7671,511,215
599,-1831,-992,-1651,-4377,-2909,6897,482,175
599,-495,-105,-2311,-2697,-1415,4312,258,186
599,-2236,-1004,-922,-2043,1876,3071,-99,205
647,-334,2164,-601,941,2676,-4974,-933,411
647,-1316,3800,1425,4029,-1704,-14283,-1987,1159
647,-247,2389,845,1900,-1022,-9666,-1633,980
647,-1832,-3301,-1418,-4918,2229,10345,492,172
647,-505,-901,-2376,-2424,475,5347,283,113
647,-1355,-837,-2208,-2011,845,4786,259,24
647,-1819,-1936,3953,-1315,3107,3341,124,-72
647,-1343,-988,3491,-321,2546,636,-120,27
