timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-704324,718108,373315,-2244311,-318898,790189,689945,-664576
66,-662316,675154,351170,-2111643,-300750,742654,648616,-624456
66,-622890,635389,330521,-1986822,-282958,698496,610222,-587384
66,-585948,596945,310604,-1870036,-266641,660784,574616,-552783
66,-551010,561938,292233,-1759121,-251246,620463,540533,-520131
66,-518762,529570,275235,-1654199,-236649,580551,508277,-489320
66,-489706,497753,259445,-1557409,-222020,547477,478490,-460595
66,-459859,468724,244656,-1464931,-208103,513457,449927,-432853
66,-434737,442746,231251,-1375918,-197352,475050,422644,-406169
114,-406943,417987,218695,-1293058,-187378,440526,396910,-382235
114,-384055,392554,205505,-1217434,-176465,417654,373622,-359827
114,-360484,366132,188868,-1149801,-164449,408794,353193,-339632
114,-339044,344428,177817,-1081808,-155312,384175,332238,-319463
114,-320807,323268,168102,-1018184,-145221,360245,312433,-300582
114,-300550,304781,156848,-957557,-137122,337592,293920,-282293
114,-282830,286359,143532,-903688,-131369,328899,277187,-265819
114,-264896,269594,134486,-849785,-122602,308188,260844,-249864
114,-250423,254438,128390,-798256,-114691,285499,245104,-234658
114,-236711,239914,125233,-750287,-105496,266550,230374,-220751
163,-221315,225616,119013,-705202,-100323,244603,216407,-206893
163,-208438,210848,111463,-664658,-93764,235536,203971,-195190
163,-197977,201524,106407,-621424,-90634,207004,190688,-183253
163,-184641,189628,99624,-584879,-85663,195490,179548,-172240
163,-175330,174280,92937,-554250,-77194,198451,170171,-162684
163,-165779,163956,87558,-521195,-72699,185919,160046,-152993
163,-154076,154891,82503,-489873,-68615,172814,150594,-144144
163,-144573,146096,78173,-460781,-64306,162995,141860,-135465
163,-135930,138243,72919,-433030,-61137,150695,133241,-127168
163,-127497,127517,66999,-410663,-56126,154430,126255,-120840
212,-121958,123713,70566,-380712,-54176,126865,116874,-109850
212,-114729,113412,64286,-361358,-50263,131199,110850,-103355
212,-106200,108431,54405,-341287,-49617,121969,105110,-101431
212,-98902,101889,51657,-321287,-46331,114277,98867,-94958
212,-95624,98568,51461,-296647,-44196,94918,91779,-86932
212,-88372,92469,48607,-279081,-41328,89836,86440,-81709
212,-83245,87017,45999,-262327,-38783,83615,81098,-76741
212,-78466,78413,40539,-252352,-34724,93423,77758,-73742
212,-73680,74685,38406,-236506,-32900,85166,72966,-69449
212,-71404,70576,36117,-223211,-30365,81642,68410,-65035
261,-65571,70153,37857,-203903,-30822,52424,62758,-60455
261,-61701,65829,35055,-192664,-29406,51227,59275,-57073
261,-59514,57009,28813,-187766,-25489,74308,57599,-54165
261,-54797,53915,27199,-176387,-24640,68453,54105,-50736
261,-52732,50488,26946,-167011,-22077,61579,51043,-47487
261,-47792,47678,25308,-157369,-21024,57656,47968,-44407
261,-44699,45329,24015,-147571,-19936,52397,45018,-41518
261,-43400,45289,24090,-133697,-20239,38411,41444,-38281
261,-40924,42450,22655,-125849,-19044,36145,38990,-35901
261,-37776,37066,19591,-123184,-16148,47700,37809,-37082
