timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-2091698,734820,125671,-3393327,-765377,1811902,1044547,179389
66,-1969336,692043,118646,-3192331,-720354,1702815,982472,168904
66,-1853485,649225,114766,-3004441,-676967,1604269,924664,158587
66,-1742375,611226,108872,-2826245,-635783,1508478,869966,149139
66,-1639571,574465,98760,-2660413,-597140,1423172,818835,140580
66,-1543170,540186,93536,-2502730,-561108,1338003,770239,132383
66,-1451372,508293,94611,-2354452,-528860,1257510,724312,124590
66,-1365581,478962,85471,-2214826,-499772,1181963,681408,117211
66,-1286164,451425,75293,-2084128,-474938,1111571,640928,110041
114,-1209320,426995,76263,-1957272,-440962,1035569,601456,104266
114,-1139017,401188,71025,-1841790,-416452,975775,566085,97968
114,-1070143,375318,57796,-1736504,-391922,930320,534596,90935
114,-1007857,352788,57212,-1633512,-367565,874860,502901,85642
114,-947236,330731,58696,-1537629,-348401,823229,473132,80595
114,-891665,311286,53716,-1446103,-328063,773455,445040,75932
114,-839111,296733,56304,-1355994,-306693,712686,416299,72808
114,-790936,274647,48551,-1282001,-288466,687099,394002,67565
114,-744050,257344,43477,-1206972,-271059,650656,371377,63363
114,-698565,243933,42406,-1133642,-254159,608844,349223,59543
163,-657070,233259,40043,-1063756,-240405,563034,327099,56666
163,-619142,216989,35889,-1004067,-226097,538629,309009,52746
163,-581038,206315,37773,-940865,-212530,496282,289190,50507
163,-547089,193964,36772,-885231,-198645,467276,272192,47419
163,-516688,179374,28566,-838003,-188095,453353,257849,44092
163,-486040,168943,26231,-788259,-177088,426044,242404,41541
163,-456910,159474,24454,-741000,-166893,399393,227898,39033
163,-429142,151262,26128,-696789,-151996,375085,214620,36173
163,-403248,142815,25157,-655448,-143348,351009,201643,33984
163,-379012,132534,22601,-618553,-138621,334976,189999,32236
212,-356713,124754,23153,-582028,-132219,311268,178016,30613
212,-335832,116929,21547,-547582,-124203,294693,167838,28765
212,-315702,109635,17762,-513568,-114192,276389,158021,26801
212,-297277,103814,14825,-483306,-109818,259743,148692,25178
212,-280040,100537,17433,-450959,-103304,233361,138061,24606
212,-264286,94326,17723,-424276,-97179,220438,130067,23106
212,-247382,88707,20741,-398820,-90689,206964,122371,21683
212,-233220,80819,14296,-378640,-82601,206045,116544,20075
212,-220534,76905,14081,-355220,-77586,191852,109423,18923
212,-207534,71495,12592,-335632,-74320,181905,103081,17518
261,-194459,71688,15472,-311565,-72498,158277,95531,16921
261,-182868,68663,14507,-292283,-67796,145159,89298,15997
261,-173129,57920,7279,-279395,-66539,156296,86322,14277
261,-162604,54618,7638,-262537,-62816,146039,81037,13485
261,-153211,54364,2357,-248555,-56104,135786,76141,12367
261,-144201,51420,2677,-233828,-52990,127615,71633,11686
261,-135306,48612,3531,-219530,-49988,118724,67197,11167
261,-127682,47035,8815,-204202,-47401,102886,62045,11271
261,-118860,44126,7726,-192276,-44554,97006,58283,10730
261,-111693,38470,11804,-183507,-39561,100409,56042,9681
310,-105869,38901,11041,-168282,-35419,83024,50894,9753
310,-98107,34117,4341,-162219,-34166,88373,49394,8683
310,-94595,30211,12525,-153180,-32835,83313,46800,7847
310,-88703,31125,11796,-140488,-31212,68975,42693,7917
310,-83156,30815,10838,-130019,-29334,58187,39172,7850
310,-77264,25596,-1053,-129999,-29387,74543,39608,6372
310,-72789,24387,-1881,-121896,-28017,69203,37072,6057
310,-69829,23709,417,-112902,-23511,63223,34708,5458
310,-65236,22747,3607,-105212,-21332,58232,32387,5271
310,-61736,21046,5667,-97892,-22229,46933,29036,5821
359,-56113,21197,9929,-91593,-21962,45217,27735,5104
359,-52745,18325,7377,-88926,-22152,49024,26936,4459
359,-52027,17082,183,-83583,-16731,47488,25356,4092
359,-48502,16515,-1510,-78928,-16865,44718,23934,3724
359,-45475,16046,-2058,-74070,-17899,41017,22532,3550
359,-42285,14900,3405,-67132,-11429,37295,20978,3218
359,-39574,17955,4900,-59285,-10662,24143,18252,3459
359,-36420,12119,2366,-62850,-11874,38649,19352,2707
359,-35514,12517,2107,-59085,-13484,35236,18088,2575
359,-32092,11586,-2352,-55652,-11861,31524,16542,2909
407,-31626,14001,11092,-46962,-8657,15723,13505,3415
407,-28762,14336,11242,-43075,-7134,11830,12226,3413
407,-28384,7100,2541,-47959,-8621,29018,14232,2249
407,-25663,4178,1496,-47467,-7457,35221,14528,1620
407,-23909,8447,-9548,-41530,-11169,24257,11920,2408
407,-22609,7663,-7146,-38809,-10782,22782,11278,2171
407,-21326,7131,-3397,-35999,-8838,20880,10524,1982
407,-19506,7748,7256,-35070,-5213,19487,9954,1608
407,-18513,7884,10664,-30799,-4737,13924,8745,1754
407,-16944,4822,-5649,-33270,-10292,20059,9425,1394
455,-16755,9063,1532,-24688,-4487,5436,6549,2464
455,-15720,7254,-1660,-25037,-4050,9824,6728,1954
455,-16579,1157,13898,-25256,-6239,15041,7294,1298
455,-14451,1960,9370,-23005,-5547,13535,6662,1324
455,-14320,13086,-7791,-14381,-2533,-7956,3636,1763
455,-12596,10620,-10730,-17256,-3221,2397,4879,998
455,-10089,12555,-5570,-13293,-3465,-4808,3836,1274
455,-11598,1170,-925,-22917,-10546,14743,5563,904
455,-12788,1108,337,-20701,-5485,12195,4905,928
455,-9826,3092,-7094,-17622,-7920,13158,5116,312
503,-9026,6554,-9362,-9854,-12772,-4361,2020,1575
503,-9949,4935,-9077,-12209,-11804,1006,2605,1264
503,-7459,2040,-5576,-15051,-3783,14362,4660,-173
503,-8113,3443,-12848,-14479,-6419,13066,4651,-330
503,-7250,2778,2814,-13142,-3371,10269,3698,-25
503,-7723,2854,5175,-12553,-3201,9386,3403,13
503,-5978,2620,9348,-11474,-2715,7651,3092,-20
503,-5741,-1370,-923,-13712,-3802,13582,3633,-507
503,-6627,-92,-4025,-10504,-3914,9664,2958,-412
503,-5499,1752,2293,-10321,-3598,6654,2393,-747
552,-6004,1802,10974,-6467,-2690,-2474,928,-201
552,-4103,-350,10883,-9520,-3701,6672,2219,-727
552,-3744,1834,8292,-3318,1665,-4627,641,-615
552,-3539,1688,8287,-2674,891,-4749,487,-533
552,-4042,-2268,-9899,-10936,-8743,7643,1634,-522
552,-3450,-2586,-5937,-10122,-8755,7196,1645,-675
552,-4270,-1759,-3897,-8890,-8906,5667,1583,-848
552,-3697,331,8824,-4480,1098,4999,1503,-1038
552,-2126,303,9907,-5091,-1013,4345,1280,-941
552,-3306,-1054,-8216,-4075,-379,2717,910,-996
650,-2331,223,18731,4561,7747,-13484,-2230,38
650,-1264,-995,13180,2711,7299,-9206,-1755,53
650,-11,-4022,16184,-9999,12070,13645,1769,-1788
650,680,-3126,23576,-7921,17063,11675,1757,-2120
650,181,-640,-6584,-2405,-3845,4579,347,-1311
650,624,-331,-5204,-2253,-2152,4402,658,-1622
650,532,10,-5218,-1979,-2133,3294,528,-1624
650,-2589,-3870,14993,1705,1479,-7846,-1863,-396
650,-1799,-3894,19848,1763,639,-7526,-1599,-615
650,129,3397,-32167,-4702,-17582,5136,454,-1248
699,-1449,-3532,-3434,-2036,5,4077,396,-1217
699,-238,-4823,-935,-998,2077,3407,244,-860
699,-573,2222,-11546,-3933,-10282,2817,87,-1353
699,-246,1628,-4791,-3577,-8838,2386,-41,-1309
699,1029,2193,-1520,-2112,-6587,-184,-470,-1010
699,-229,1986,-18052,1328,6943,5379,408,-1710
699,1602,3766,-12562,-1319,2694,4585,338,-1668
699,214,-3228,10782,-1126,-13,1776,-579,-1451
699,-169,-2154,8265,-4321,-154,1148,-578,-1361
699,1356,3077,-839,1995,-8134,-8756,-1811,-1601
747,-555,1148,-5920,1306,155,-7908,-1928,-1330
747,177,-3326,-15589,-3332,-1475,5512,-227,-1679
747,640,2787,-16523,-2309,-4534,3257,-59,-2754
747,1896,2042,-8626,-1978,-3843,1743,-256,-2443
747,839,-6632,18161,-2719,5756,1550,-401,-2200
747,-327,-5183,19445,-2924,4292,1079,-430,-2156
747,252,-8968,17469,-3592,8488,7467,69,-1652
747,-1125,-8575,13632,-2509,3802,5441,-310,-1439
747,-71,-7028,10804,-1292,-137,1917,-733,-1048
747,-510,-3025,3847,-2844,-1518,806,-654,-996
796,1392,1910,3457,2645,-12785,-12028,-2699,96
796,125,-35,7750,3151,-7618,-4373,-1582,-449
796,452,-84,12958,6710,-3369,-18575,-3986,1818
796,-862,-595,2233,5321,-5771,-11871,-3155,1579
796,1264,-4658,-11024,-3340,-1434,4664,-531,156
796,1392,-3580,-12712,-3034,-850,3740,-469,330
796,-987,-5739,-7027,-4097,-4578,1195,-1682,2732
796,-615,-3967,-6036,-3839,-581,1162,-1392,2567
796,1565,-1364,-2335,-2408,4048,4,-1295,2215
796,2530,-2488,19111,-54,13657,4085,-243,3106
892,746,3114,10882,3344,-12226,-12187,-3109,15975
892,2876,-4287,9848,-3614,9753,8307,773,15469
892,1559,-3841,9801,-2810,9566,6905,287,15184
892,-62,-1955,7230,-2422,6635,4432,-431,15138
892,2467,7880,-17444,-2957,-2221,3460,-438,17673
892,3252,6655,-20009,-3582,-4394,3498,-235,16696
892,2780,7462,-13294,512,-4618,-6898,-2269,24942
892,1754,7468,-2421,1250,-895,-8755,-2404,23964
892,2757,1799,-3306,-7591,-8028,3726,-1006,29276
892,2212,3300,-9549,-6784,816,3278,-1135,27759
941,438,-612,29491,4514,13676,-9502,-2952,29174
941,3738,6505,-27890,-1000,-11139,-2514,-2796,32357
941,3641,10767,-26668,3086,-2388,-12766,-4116,31867
941,4046,9432,-19571,3255,6843,-12751,-4134,30838
941,-855,-11645,31272,-6851,-14150,2933,-4234,36625
941,-499,-13063,29332,-4381,-9229,772,-4739,35440
941,2154,-6975,34718,-1176,2512,596,-5016,39795
941,1788,-6705,24034,-5020,-14752,1928,-3920,36637
941,1430,398,40459,-5262,4301,-6775,-6725,43899
941,2615,1754,36432,-2068,2863,-15167,-7504,42561
998,2277,-1871,17634,2224,5289,-19094,-7620,42225
998,873,-3763,7480,-11666,-5777,4919,-3018,46572
998,1587,-5116,19351,-9920,-19667,3609,-3415,44876
998,-2090,-10789,9587,-7310,-4474,1484,1396,51059
998,-762,-10887,25539,-7188,-6895,1482,1551,48533
998,-431,-9953,45144,-5565,-5260,281,1464,46360
998,3808,5960,12417,-8335,-7548,5148,7996,50733
998,3223,7113,4812,-7162,-13902,3125,7428,48530
998,-650,948,18278,-9490,4711,-458,13423,56101
998,-2137,-949,24031,-8414,8544,-699,12778,54190
1046,2952,16043,37646,-1420,24368,-11961,19649,60057
1046,2857,19717,60798,4525,37782,-22134,16787,58365
1046,3211,19802,68060,5549,37444,-22365,15653,55800
1046,5761,45362,-31859,-6375,-1927,4923,24488,56747
1046,6171,42699,-22824,-7228,-7118,3346,22848,54085
1046,2431,34470,33829,-8377,23729,-568,23664,60808
1046,4824,34925,43882,-6472,38980,-1154,22591,57189
1046,5100,33405,56904,-5070,46056,-1915,21676,54115
1046,110,35097,67731,-5003,23555,1339,21305,62354
1046,842,33451,54525,-4964,25647,709,20107,59195
1095,10560,78510,-26590,-6863,-21321,-5049,21241,67395
1095,7466,72007,-34310,-12129,-20623,5418,22208,62112
1095,7144,66105,-25238,-14928,-29823,3387,20841,58893
1095,4627,62554,11994,-5200,7916,-20243,14685,70022
1095,5594,64440,-4464,-5915,6491,-13626,14878,65530
1095,-619,37283,-5160,-12130,-8189,4818,17548,69515
1095,-210,39928,-2660,-12689,-6568,4064,16412,65787
1095,545,40311,-842,-13067,-13231,1734,14957,62765
1095,3784,36663,25625,-12695,15810,4761,16212,66307
1095,4213,36153,25684,-11904,7436,2868,14845,62573
1145,4099,6980,29917,-14691,-5916,1739,14646,71636
1145,4091,4703,29936,-16083,-14806,2485,14008,67938
1145,2127,8638,23616,-12636,-10526,-2755,12370,65290
1145,279,764,-377,-14252,-8396,3075,14582,69169
1145,-873,-1150,-3297,-13346,-6324,1823,13349,65909
1145,5323,4800,20405,-1543,13485,-22827,7544,72373
1145,5288,4414,5091,-8069,-8499,-13538,9673,66577
1145,6531,70,-4306,-13120,-7848,2330,12692,60590
1145,2290,-3563,6368,-12611,2465,3981,12355,66026
1145,2789,-788,6070,-17330,3309,4184,11561,62989
1193,7734,12795,4811,-3678,-3177,-10609,9526,70029
1193,5337,12473,987,-3885,-8841,-6924,9632,66118
1193,5038,14508,318,-2748,-8868,-7836,8773,62726
1193,768,7211,-219,-12168,6152,8607,11990,64792
1193,4182,10588,-14710,-10163,-3373,6771,11528,60510
1193,2963,29929,-33761,-9871,-4817,2854,8763,64653
1193,3567,23099,-26314,-9672,-3314,3036,8548,60492
1193,2434,14173,-21231,-8689,-7630,1877,8151,56980
1193,3101,28637,12778,-690,-12292,-9535,4116,62599
1193,4255,24250,-2461,-6617,-8075,6248,7341,56697
1242,136,29769,-2318,-6163,-10488,1087,6503,61649
1242,-476,24582,3196,-5163,-6483,3147,6696,57994
1242,-459,23703,12295,-1199,-5384,-9390,3281,56752
1242,4353,11159,26253,-6732,-13268,-4790,3593,57227
1242,3916,15652,9375,-6524,-8366,-3995,3413,53667
1242,6049,23858,-5151,-10715,8214,3588,2346,56240
1242,7456,27360,-17318,-6144,5835,2869,2383,52486
1242,10651,33617,-31520,-1510,1278,1521,2517,48415
1242,-244,25238,-4634,-6918,1016,4015,4412,50124
1242,-742,24893,-3716,-2756,-3402,2413,3553,47808
1290,940,37180,-51720,-3654,-27134,-29,2264,51082
1290,1019,34177,-40964,113,-31148,-10590,-1411,50649
1290,2173,26648,-18039,-6416,-25851,-1811,453,46391
1290,-1391,36800,-20688,-6627,3798,2947,1991,47610
1290,-1502,31515,-9180,-4723,4493,1328,1482,45437
1290,1309,29298,-1306,1074,-4638,-11858,-144,48140
1290,2234,19432,8017,1179,-2369,-10818,-29,45257
1290,3228,15993,9032,2387,9107,-11896,-330,42810
1290,-5156,14691,433,-4421,7233,3616,4980,41903
1290,-3425,15701,2389,-5629,5667,4368,4759,39670
1339,-2478,29995,-40457,-2544,-34838,-12594,-1137,45544
1339,355,26918,-50148,-6938,-30814,-7743,428,41169
1339,481,22676,-39579,-3276,-17073,-7224,953,37847
1339,-1093,10551,2525,-4279,6978,10752,5598,36959
1339,-1286,8899,7098,-4606,20400,8707,4497,35547
1339,4894,20094,-39504,-1069,-21261,5976,4843,35183
1339,3147,19544,-25893,-5235,-14368,4690,3777,33795
1339,524,17186,13603,-1763,2372,-10908,-1914,38311
1339,611,16720,3538,-28,2235,-10293,-1896,36072
