timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-1272227,-890786,-617784,-942475,458970,462159,-615983,-4155089
66,-1194614,-835474,-581932,-888112,430798,436021,-572010,-4187762
66,-1121343,-786400,-546825,-835188,406891,409876,-539392,-3947930
66,-1054602,-727359,-526134,-788575,372220,395976,-469809,-4016030
66,-996851,-691700,-488966,-743766,351891,368723,-455320,-3756418
66,-940898,-666398,-448299,-694957,340284,334460,-464883,-3361588
66,-882417,-611130,-435378,-656004,315710,325190,-406164,-3712768
66,-830383,-581844,-404749,-614300,300576,300632,-397291,-3439508
66,-781681,-566545,-367841,-568615,292409,264197,-421395,-3274025
114,-737676,-571094,-326281,-525093,283755,220695,-459532,-1862564
114,-691480,-528436,-311076,-497515,263300,214750,-411092,-1816542
114,-652770,-436892,-327067,-490033,223254,252099,-261580,-3511101
114,-614391,-413353,-306137,-460053,211362,235292,-251176,-3301268
114,-577335,-391198,-285907,-431490,200725,218682,-242780,-3379210
114,-541648,-376348,-263430,-402370,194072,199024,-247315,-3105547
114,-510149,-305520,-290306,-404467,135428,227946,-88893,-2704760
114,-479764,-284304,-271367,-377145,135242,213354,-87495,-2966983
114,-451171,-293599,-235057,-342850,147593,179460,-151305,-2686937
114,-422209,-292820,-207090,-317981,149717,161137,-181339,-3062213
163,-401811,-301851,-181398,-290485,145292,129482,-234415,-2218268
163,-377462,-242098,-198635,-288034,113591,152733,-122988,-2675307
163,-357068,-297108,-141948,-244206,145636,88858,-261087,-1615910
163,-333980,-276249,-135143,-232571,135168,86245,-236748,-1531797
163,-311616,-198238,-164842,-239784,103261,130758,-100165,-3063537
163,-293262,-192105,-150178,-222633,101460,117294,-110112,-2827966
163,-275835,-191091,-133373,-205022,101339,101053,-130374,-2509901
163,-263065,-173758,-130641,-196962,91730,103582,-98984,-2842872
163,-246910,-171716,-118114,-181337,91728,90125,-113161,-2595538
163,-232269,-135258,-129586,-181391,66689,104868,-42247,-2787295
211,-219489,-197786,-74240,-139308,104810,40009,-202631,-1925651
211,-206913,-185765,-72774,-137177,91305,42196,-185973,-1518767
211,-194099,-118989,-101904,-148825,57718,84101,-50131,-2550784
211,-182246,-115625,-92993,-138025,56902,75381,-56745,-2399988
211,-167779,-167309,-50049,-110049,75755,24382,-170698,-1457647
211,-157209,-153242,-51439,-104036,68841,25071,-151487,-1361988
211,-151325,-77840,-91373,-122356,39312,78336,-2886,-2091417
211,-142219,-76950,-83481,-113442,39008,70631,-10508,-1967778
211,-134231,-86809,-68792,-100783,44854,54701,-42467,-1851448
211,-128805,-72411,-70686,-98417,36938,58318,-21415,-1741995
260,-118867,-146555,-18531,-64096,69680,-6423,-182652,-1247654
260,-109532,-114196,-34383,-70018,49231,12144,-114374,-1368692
260,-108651,-28568,-81913,-95886,10294,74968,63077,-1484342
260,-102293,-36034,-70652,-85572,16104,62466,36322,-1396591
260,-91777,-41039,-60490,-78036,19027,53217,9301,-1314028
260,-86958,-40637,-58175,-73460,17589,49031,5816,-1236346
260,-82313,-46858,-49711,-65186,22047,39190,-12713,-1163257
260,-77961,-90658,-17469,-43795,38296,-1777,-100420,-1094488
260,-72929,-92789,-10602,-36899,42394,-8594,-110989,-1029785
260,-69927,-26205,-46863,-58838,10548,43083,17412,-968906
309,-66165,-103622,9144,-22289,57203,-24260,-157444,-911627
309,-62402,-53427,-25354,-44441,18124,17088,-41682,-857734
309,-57154,-17633,-43772,-50891,5205,40031,27927,-807027
309,-52813,-22487,-36804,-45105,8013,32467,11931,-759318
309,-51903,1597,-48969,-51064,-3240,46152,59035,-714429
309,-48782,-1461,-45346,-45815,-1517,40316,46617,-672194
309,-45471,-8297,-37963,-39268,2529,31643,27602,-632455
309,-42385,-11761,-29505,-36855,3972,28571,17946,-595066
309,-39307,-19697,-22365,-31821,8093,20170,-2169,-559887
309,-38145,-62784,4235,-14376,23145,-15773,-79888,-526788
357,-36599,-56391,-5855,-19793,3934,-10049,-50362,-495646
357,-33829,8522,-45774,-42096,-28354,38528,84847,-466345
357,-31778,-2839,-26830,-29275,285,27296,26499,-438775
357,-29282,-13036,-17292,-22895,7364,16867,1484,-412836
357,-26203,-2455,-22372,-28765,-1966,23450,19597,-388430
357,-25073,-4498,-19272,-24779,1155,19590,12621,-365467
357,-24180,25876,-40655,-35300,-16596,43760,93914,-343862
357,-23078,17602,-33260,-29915,-10365,36173,71908,-323534
357,-22277,7045,-24659,-24012,-4410,26222,45665,-304407
357,-19402,-2323,-16320,-20614,-1235,19444,21169,-286411
406,-19364,-65667,27478,7488,37300,-36566,-126140,-269479
406,-18055,2916,-19840,-20674,-9382,17978,27661,-253548
406,-17054,-88686,34962,13607,32448,-54364,-142516,-238559
406,-16048,-51956,12192,3196,13139,-28614,-62482,-224456
406,-15641,13340,-20880,-19087,-6133,25381,42480,-211187
406,-14230,7202,-15694,-14929,-1627,18694,27125,-198702
406,-12969,-5545,-6688,-8632,6329,7164,-1932,-186955
406,-11062,10607,-17868,-13285,-2741,18619,29811,-175903
406,-11499,1691,-9984,-12448,-106,11959,12739,-165504
406,-12115,10367,-15341,-13826,-6276,19192,35275,-155720
502,-7015,-78146,47833,27577,48923,-58204,-148550,-79659
502,-6381,-62280,34220,18240,31455,-43875,-104241,-74949
502,-5453,30591,-24377,-15596,-10509,28971,91334,-70518
502,-5200,20356,-17987,-10757,-4496,20183,68516,-66350
502,-5785,21389,-16969,-11567,-9467,21950,73785,-62427
502,-5388,17669,-13978,-9648,-7291,18377,64569,-58737
502,829,-21374,8511,3264,8390,-16898,-6991,-55264
502,338,-25542,11840,5950,11395,-20366,-16296,-51997
502,-1833,16891,-17786,-14496,-18773,17953,72736,-48923
502,-3979,26887,-16383,-9427,-9133,21838,62130,-46031
561,-4385,-49839,32104,20326,36131,-40431,-88144,-43310
561,-2386,25438,-20184,-11030,-9073,20946,54327,-40749
561,-2068,19784,-15592,-8093,-6022,15793,42433,-38340
561,-1805,-43308,28328,20777,36239,-38648,-86566,-36074
561,-5332,42471,-28410,-18353,-19403,33576,84143,-33941
561,-4906,34922,-22623,-14826,-14606,27436,68877,-31934
561,-5505,23661,-12949,-9482,-7614,18497,40296,-30047
561,-4273,16122,-7804,-5847,-2621,11654,24394,-28270
561,-1665,-24641,18867,8272,12526,-23030,-38669,232888
561,-4095,-19295,15471,6520,8235,-18779,-28929,212749
609,-1955,-48811,36117,22478,36933,-44822,-112046,634264
609,-1912,-1978,551,-2499,-3042,-1465,-8561,398896
609,72,-5273,6337,5635,7902,-10531,-22534,240830
609,442,31602,-15690,-10202,-9681,20027,38465,5174
609,-183,19970,-8239,-3331,-1990,9332,16196,115637
609,-578,54742,-33883,-20933,-27049,41233,95681,208824
609,129,47301,-28939,-16755,-21542,35120,79797,213112
609,641,34296,-20761,-10965,-13035,24742,54996,278126
609,-3862,22986,-13366,-8783,-7050,16405,30246,494185
609,-4453,14335,-7364,-4775,-1087,9104,13521,555826
657,-4347,-24639,9004,2537,-732,-20259,-21208,2389213
657,-2224,36414,-30271,-21079,-35149,28227,88868,1484424
657,-4005,57329,-41106,-25361,-39539,42898,117597,883436
657,-3179,17638,-7547,-3736,534,10883,15245,1006453
657,-2129,11379,-3282,-852,4554,4875,2520,1025132
657,341,15893,-6396,-4072,-2050,6967,8623,1384027
657,2811,13559,-4986,-2316,-1065,5347,5667,1332243
657,955,-1137,4190,4391,7262,-7032,-21675,1421385
657,-3760,31684,-19475,-12660,-17901,23306,50838,1482592
657,-3163,21582,-12197,-7766,-9819,14751,30564,1474120
706,-1577,-46034,31074,19933,35609,-42506,-99236,2717325
706,408,17995,-13617,-7988,-10450,11767,29835,2004612
706,-1297,9818,-5057,-171,1176,1242,9114,1831638
706,-2868,-37177,19657,15334,13575,-39008,-53025,3164805
706,-1818,-78394,49507,33013,44295,-73858,-136150,3432625
706,-630,32917,-15290,-9365,-8454,20023,36014,1638524
706,-2708,25466,-9341,-5912,-4122,14110,23792,1601377
706,-2547,10769,1050,126,4797,1850,-2176,1670602
706,2489,33551,-10321,-4159,-9177,12806,24539,1651024
706,2780,23519,-2856,944,3664,4450,7086,1645507
802,-506,-56487,51142,33508,52563,-63417,-130491,2442347
802,-203,-42172,38094,24252,35159,-48946,-93994,2353299
802,-76,-29264,28261,18074,24333,-37590,-65209,2184539
802,292,49169,-19701,-12038,-18787,26503,57023,1147588
802,-1841,42505,-15676,-9292,-12567,21438,46847,1113025
802,-2134,38672,-12272,-6806,-13149,20598,43917,1133778
802,-1650,36514,-10892,-7157,-11306,19164,40746,1073833
802,-863,42310,-23786,-13673,-27463,23247,69860,1415242
802,-3153,66442,-36932,-22490,-38064,41392,106838,941961
802,-2827,41643,-17395,-8750,-13809,19114,53491,994462
851,-4097,9245,4800,994,3662,-7527,-3977,1481626
851,-1458,40611,-15699,-10782,-13668,17888,52830,1035235
851,-2290,-7017,19255,13950,25362,-25749,-37199,1294442
851,2381,-21914,26134,15407,23011,-34804,-56652,1617662
851,1406,-17479,22607,15762,21717,-32879,-48943,1533936
851,4846,50879,-20022,-12361,-12483,26407,58620,676009
851,3780,47450,-18395,-11743,-11052,24645,54525,642044
851,-1491,38072,-11283,-5184,-4843,15925,36817,768888
851,-417,34077,-8691,-4131,-2215,12147,29870,748201
851,1062,20106,392,1882,7174,115,6414,821775
900,-2217,-2296,10361,6849,6369,-16377,-18810,1285241
900,-1866,49904,-27203,-15124,-31545,28797,76060,753511
900,-2840,-33520,33382,26976,36632,-47867,-78995,1326107
900,474,37610,-15249,-5262,-9560,13831,37099,718969
900,-365,30654,-10309,-2920,-4528,9029,27099,721017
900,-3556,-19306,23647,22407,23982,-36091,-48546,1410457
900,-4413,-14505,20078,15996,17536,-29963,-36123,1309453
900,-3661,-23127,25870,17845,22172,-36484,-48466,1317627
900,3441,51014,-22509,-12019,-17671,27922,62939,478444
900,1725,44975,-19049,-12264,-14634,24128,53653,477463
949,1573,-43703,47197,33086,47989,-57893,-101228,1338303
949,902,-40433,41306,26098,37186,-51376,-84715,1398316
949,-1578,-21996,26583,15944,20566,-34740,-45925,1248588
949,-3419,80449,-42715,-31290,-32361,55944,120042,231599
949,-3658,67433,-34763,-26826,-25280,46767,98638,262047
949,-3613,41744,-16586,-6845,-4865,20031,47825,546928
949,-1158,38758,-14964,-4990,-4768,17615,41416,532864
949,-2548,32733,-11624,-1346,-2663,11980,29226,541637
949,-3371,-10652,16650,13232,16350,-25662,-26146,1134416
949,-1201,-22699,25201,16904,23390,-36449,-48107,1177677
998,-488,6618,6806,4898,8192,-12035,-15006,1057050
998,-2440,53856,-26597,-15266,-24883,29598,69653,628133
998,-46,27257,-5791,1260,562,2642,18027,689908
998,1877,46377,-15805,-7620,-6021,17799,36578,622903
998,2402,43299,-15009,-6017,-4976,15340,32075,598712
998,-3584,55478,-23988,-14697,-13151,33039,63682,502585
998,-3230,46706,-18997,-11047,-10453,26236,51550,507335
998,-3247,31541,-9565,-4384,-3583,13398,28330,571213
998,-405,37498,-12792,-7653,-9107,11243,27898,642279
998,1432,29791,-7935,-4626,-5914,5001,17252,644560
1045,-6165,-23598,29447,25383,27586,-45293,-67933,1211809
1045,-5459,-21493,27351,24554,26146,-43074,-58370,1136985
